Entity,Code,Year,Palm fruit oil - Area harvested (hectares)
Colombia,COL,1961,800
Colombia,COL,2023,502624
Cote d'Ivoire,CIV,1961,45000
Cote d'Ivoire,CIV,2023,422097
Ghana,GHA,1961,60000
Ghana,GHA,2023,425263
Indonesia,IDN,1961,70000
Indonesia,IDN,2023,14170000
Low-income countries,OWID_LIC,1961,310100
Low-income countries,OWID_LIC,2023,405149
Lower-middle-income countries,OWID_LMC,1961,3133166
Lower-middle-income countries,OWID_LMC,2023,6693769
Malaysia,MYS,1961,43302
Malaysia,MYS,2023,5130172
Nigeria,NGA,1961,2700000
Nigeria,NGA,2023,4512131
Thailand,THA,1961,950
Thailand,THA,2023,993677
Upper-middle-income countries,OWID_UMC,1961,176271
Upper-middle-income countries,OWID_UMC,2023,21764289
